编号	顾客人数	到来时刻	等待用时	就餐时刻	就餐用时  	离开时刻
001	    2		  11:02		  0:00		  11:02		  0:03		  11:05
002	    3		  11:05		  0:00		  11:05		  0:14		  11:19
003	    2		  11:09		  0:00		  11:09		  0:23		  11:32
004	    3		  11:12		  0:00		  11:12		  0:06		  11:18
005	    2		  11:13		  0:00		  11:13		  0:04		  11:17
006	    3		  11:15		  0:00		  11:15		  0:05		  11:20
007	    3		  11:22		  0:00		  11:22		  0:13		  11:35
008	    1		  11:35		  0:00		  11:35		  0:17		  11:52
009	    3		  11:37		  0:00		  11:37		  0:05		  11:42
010	    2		  11:43		  0:00		  11:43		  0:07		  11:50
011	    3		  12:06		  0:00		  12:06		  0:18		  12:24
012	    4		  12:08		  0:00		  12:08		  0:20		  12:28
013	    1		  12:10		  0:00		  12:10		  0:01		  12:11
014	    3		  12:14		  0:00		  12:14		  0:06		  12:20
015	    1		  12:16		  0:00		  12:16		  0:15		  12:31
016	    2		  12:19		  0:00		  12:19		  0:07		  12:26
017	    1		  12:20		  0:00		  12:20		  0:07		  12:27
018	    4		  12:20		  0:08		  12:28		  0:01		  12:29
019	    4		  12:22		  0:07		  12:29		  0:29		  12:58
020	    2		  12:24		  0:00		  12:24		  0:18		  12:42
021	    2		  12:33		  0:00		  12:33		  0:15		  12:48
022	    3		  12:34		  0:00		  12:34		  0:30		  13:04
023	    2		  12:35		  0:00		  12:35		  0:18		  12:53
024	    4		  12:36		  0:22		  12:58		  0:30		  13:28
025	    2		  12:48		  0:00		  12:48		  0:17		  13:05
026	    2		  12:57		  0:00		  12:57		  0:18		  13:15
027	    1		  12:58		  0:00		  12:58		  0:24		  13:22
028	    2		  12:59		  0:00		  12:59		  0:17		  13:16
029	    1		  13:05		  0:00		  13:05		  0:24		  13:29
030	    2		  13:09		  0:00		  13:09		  0:23		  13:32
031	    2		  13:19		  0:00		  13:19		  0:26		  13:45
032	    2		  13:32		  0:00		  13:32		  0:10		  13:42
033	    1		  13:33		  0:00		  13:33		  0:11		  13:44
034	    4		  13:33		  0:00		  13:33		  0:11		  13:44
035	    4		  13:34		  0:10		  13:44		  0:21		  14:05
036	    2		  13:52		  0:00		  13:52		  0:14		  14:06
037	    3		  13:54		  0:00		  13:54		  0:11		  14:05
038	    1		  13:59		  0:00		  13:59		  0:28		  14:27
039	    2		  14:08		  0:00		  14:08		  0:10		  14:18
040	    4		  14:08		  0:00		  14:08		  0:25		  14:33
041	    2		  14:12		  0:00		  14:12		  0:11		  14:23
042	    1		  14:19		  0:00		  14:19		  0:29		  14:48
043	    2		  14:30		  0:00		  14:30		  0:20		  14:50
